"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"42","4","Reactome Pathways","","Aggrephagy","0.0022","TUBA1A|TUBA1C|HSP90AA1|VCP","10899","8978|8980|9111|9044","1.02E-5","","HSA-9646399","0.36720454419204646","0"
"1087","13","Reactome Pathways","","Developmental Biology","0.003","PSMD7|ARPC2|TUBA1A|TUBA1C|HSP90AA1|RPLP1|TRPC3|ROBO1|ABL2|MAML2|DAG1|RPLP0|ACTG1","10899","8982|9009|8978|8980|9111|9121|8990|8995|9089|9117|9090|9027|9073","1.5E-5","","HSA-1266738","0.34859288308461467","0"
"1162","13","TISSUES","","Lung","0.0034","TLR2|CALM2|HSP90B1|TUBA1A|TUBA1C|TALDO1|HSP90AA1|AKAP9|VCP|SERBP1|TBCC|RPLP0|ACTG1","10899","9026|9074|9013|8978|8980|9100|9111|9115|9044|9116|9030|9027|9073","3.0E-5","","BTO:0000763","0.34108213994556347","0"
"1176","13","TISSUES","","Placenta","0.0036","CALM2|HSP90B1|TUBA1C|HSP90AA1|SPINT1|RPLP1|VCP|TLR9|SERBP1|DNAJA1|DAG1|RPLP0|ACTG1","10899","9074|9013|8980|9111|9081|9121|9044|9134|9116|9102|9090|9027|9073","3.4E-5","","BTO:0001078","0.33765219919419387","0"
"849","11","TISSUES","","Leukocyte","0.0037","TLR2|ACIN1|CALM2|HSP90AA1|AKAP9|S100A8|SERBP1|TXN|DNAJA1|RPLP0|ACTG1","10899","9026|9021|9074|9111|9115|9112|9116|9076|9102|9027|9073","3.7E-5","","BTO:0000751","0.3360080517835137","0"
"54","4","Reactome Pathways","","HSP90 chaperone cycle for steroid hormone receptors (SHR)","0.0047","TUBA1A|TUBA1C|HSP90AA1|DNAJA1","10899","8978|8980|9111|9102","2.59E-5","","HSA-3371497","0.3216524459445899","0"
"193","6","Reactome Pathways","","G2/M Transition","0.0047","PSMD7|TUBA1A|TUBA1C|CUL1|HSP90AA1|AKAP9","10899","8982|8978|8980|8991|9111|9115","2.63E-5","","HSA-69275","0.3216524459445899","0"
"68","4","TISSUES","","Pharynx","0.0055","CALM2|TUBA1A|HSP90AA1|S100A8","10899","9074|8978|9111|9112","6.08E-5","","BTO:0001049","0.3122201121509862","0"
"301","8","GO Cellular Component","","Endocytic vesicle","0.0057","TLR2|HSP90B1|HSP90AA1|ATP7A|TLR9|INPP5F|ABCA1|ACTG1","10899","9026|9013|9111|8994|9134|9067|9033|9073","3.34E-6","","GO:0030139","0.31007675478944874","0"
"213","6","Reactome Pathways","","Signaling by ROBO receptors","0.0065","PSMD7|RPLP1|ROBO1|ABL2|DAG1|RPLP0","10899","8982|9121|8995|9089|9090|9027","4.5E-5","","HSA-376176","0.302195593026411","0"
"21","3","Reactome Pathways","","Post-chaperonin tubulin folding pathway","0.0065","TUBA1A|TUBA1C|TBCC","10899","8978|8980|9030","4.74E-5","","HSA-389977","0.302195593026411","0"
"145","5","TISSUES","","Brain cell line","0.0069","PPIB|HSP90AA1|VCP|TXN|RPLP0","10899","9042|9111|9044|9076|9027","8.07E-5","","BTO:0000255","0.2986119834931364","0"
"2543","19","TISSUES","","Hematopoietic system","0.0069","TLR2|ACIN1|CALM2|ARPC2|HSP90B1|TUBA1C|HSP90AA1|AKAP9|CX3CR1|VCP|MAP4|TLR9|S100A8|SERBP1|TXN|ABCA1|DNAJA1|RPLP0|ACTG1","10899","9026|9021|9074|9009|9013|8980|9111|9115|9131|9044|9091|9134|9112|9116|9076|9033|9102|9027|9073","8.72E-5","","BTO:0000570","0.2986119834931364","0"
"1098","12","TISSUES","","Blood cancer cell","0.0069","CALM2|HSP90B1|BUB1|TALDO1|HSP90AA1|ATP7A|VCP|TLR9|SERBP1|DNAJA1|RPLP0|ACTG1","10899","9074|9013|9118|9100|9111|8994|9044|9134|9116|9102|9027|9073","8.01E-5","","BTO:0000580","0.2986119834931364","0"
"130","5","KEGG Pathways","","Fluid shear stress and atherosclerosis","0.0082","CALM2|HSP90B1|HSP90AA1|TXN|ACTG1","10899","9074|9013|9111|9076|9073","4.89E-5","","hsa05418","0.28825390249499977","0"
"1842","19","GO Biological Process","","Positive regulation of molecular function","0.009","TLR2|KCNC1|CALM2|HSP90AA1|ATP7A|RPLP1|AKAP9|CX3CR1|VCP|TLR9|S100A8|S100A10|TXN|XDH|DNAJA1|LRRFIP1|ROBO1|ABL2|DAG1","10899","9026|8996|9074|9111|8994|9121|9115|9131|9044|9134|9112|9029|9076|8987|9102|9060|8995|9089|9090","8.43E-7","","GO:0044093","0.2826677671531336","0"
"4042","29","GO Biological Process","","Regulation of biological quality","0.009","PSMD7|TLR2|ACIN1|KCNC1|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|XCR1|CUL1|HSP90AA1|ATP7A|AKAP9|CX3CR1|VCP|TLR9|HTR4|S100A8|SERBP1|TXN|ABCA1|DCLRE1C|XDH|TRPC3|PHF21A|ABL2|DAG1|ACTG1","10899","8982|9026|9021|8996|9074|9009|9013|9042|8978|9094|8991|9111|8994|9115|9131|9044|9134|9127|9112|9116|9076|9033|9000|8987|8990|9047|9089|9090|9073","7.0E-7","","GO:0065008","0.2826677671531336","0"
"648","9","TISSUES","","Lymphocyte","0.0094","TLR2|ACIN1|CALM2|HSP90AA1|AKAP9|SERBP1|DNAJA1|RPLP0|ACTG1","10899","9026|9021|9074|9111|9115|9116|9102|9027|9073","1.2E-4","","BTO:0000775","0.28005832879577075","0"
"2919","23","COMPARTMENTS","","Cytosol","0.0098","ACIN1|ARPC2|HSP90B1|TUBA1A|BUB1|TALDO1|CUL1|HSP90AA1|RPLP1|AKAP9|VCP|MAP4|S100A8|SERBP1|TBCC|TXN|XDH|DNAJA1|LRRFIP1|INPP1|ABL2|RPLP0|ACTG1","10899","9021|9009|9013|8978|9118|9100|8991|9111|9121|9115|9044|9091|9112|9116|9030|9076|8987|9102|9060|9034|9089|9027|9073","4.26E-6","","GOCC:0005829","0.2775576491932192","0"
"256","7","COMPARTMENTS","","Endocytic vesicle","0.0098","TLR2|HSP90B1|HSP90AA1|ATP7A|TLR9|INPP5F|ABCA1","10899","9026|9013|9111|8994|9134|9067|9033","1.2E-5","","GOCC:0030139","0.2775576491932192","0"
"13853","55","COMPARTMENTS","","Cellular anatomical entity","0.0098","PSMD7|TLR2|ACIN1|KCNC1|CALM2|PCDH1|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|BUB1|PPP1R3B|XCR1|LIMCH1|TALDO1|CUL1|KCNA4|HSP90AA1|SPINT1|SLC25A15|ATP7A|RPLP1|AKAP9|CX3CR1|VCP|MAP4|TLR9|HTR4|INPP5F|S100A8|S100A10|SERBP1|KCNG1|TBCC|TTI1|TXN|ABCA1|DCLRE1C|XDH|TRPC3|DNAJA1|TRIP12|LRRFIP1|INPP1|GOLGB1|CDH24|PHF21A|PMS1|ROBO1|ABL2|MAML2|DAG1|RPLP0|ACTG1","10899","8982|9026|9021|8996|9074|9123|9009|9013|9042|8978|8980|9118|9035|9094|9059|9100|8991|9057|9111|9081|9041|8994|9121|9115|9131|9044|9091|9134|9127|9067|9112|9029|9116|9010|9030|9049|9076|9033|9000|8987|8990|9102|9110|9060|9034|9114|9017|9047|8997|8995|9089|9117|9090|9027|9073","5.08E-6","","GOCC:0110165","0.2775576491932192","0"
"146","5","Reactome Pathways","","Signaling by Hedgehog","0.0106","PSMD7|TUBA1A|TUBA1C|CUL1|VCP","10899","8982|8978|8980|8991|9044","8.33E-5","","HSA-5358351","0.2728487537997561","0"
"75","4","Reactome Pathways","","The role of GTSE1 in G2/M progression after G2 checkpoint","0.0106","PSMD7|TUBA1A|TUBA1C|HSP90AA1","10899","8982|8978|8980|9111","8.75E-5","","HSA-8852276","0.2728487537997561","0"
"152","5","Reactome Pathways","","Toll-like Receptor Cascades","0.0114","TLR2|HSP90B1|CUL1|TLR9|S100A8","10899","9026|9013|8991|9134|9112","1.0E-4","","HSA-168898","0.2684826376406296","0"
"1005","11","TISSUES","","Cardiovascular system","0.0116","CALM2|HSP90B1|KCNA4|HSP90AA1|ATP7A|RPLP1|MAP4|INPP5F|LRRFIP1|RPLP0|ACTG1","10899","9074|9013|9057|9111|8994|9121|9091|9067|9060|9027|9073","1.6E-4","","BTO:0000088","0.2674390004390828","0"
"170","5","TISSUES","","Lymph","0.0116","CALM2|TUBA1C|TLR9|RPLP0|ACTG1","10899","9074|8980|9134|9027|9073","1.7E-4","","BTO:0000855","0.2674390004390828","0"
"30","3","Reactome Pathways","","RHO GTPases activate IQGAPs","0.013","TUBA1A|TUBA1C|ACTG1","10899","8978|8980|9073","1.3E-4","","HSA-5626467","0.2606014758775919","0"
"7026","38","GO Molecular Function","","Protein binding","0.0147","PSMD7|TLR2|ACIN1|KCNC1|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|PPP1R3B|XCR1|LIMCH1|ASB4|CUL1|HSP90AA1|ATP7A|AKAP9|CX3CR1|VCP|MAP4|TLR9|INPP5F|S100A8|S100A10|SERBP1|TBCC|TXN|ABCA1|XDH|DNAJA1|TRIP12|LRRFIP1|CDH24|PMS1|ROBO1|ABL2|DAG1|ACTG1","10899","8982|9026|9021|8996|9074|9009|9013|9042|8978|9035|9094|9059|9124|8991|9111|8994|9115|9131|9044|9091|9134|9067|9112|9029|9116|9030|9076|9033|8987|9102|9110|9060|9017|8997|8995|9089|9090|9073","4.55E-6","","GO:0005515","0.2532266504105572","0"
"87","4","Reactome Pathways","","Regulation of PLK1 Activity at G2/M Transition","0.015","TUBA1A|CUL1|HSP90AA1|AKAP9","10899","8978|8991|9111|9115","1.5E-4","","HSA-2565942","0.25201433389473527","0"
"167","5","Reactome Pathways","","Regulation of expression of SLITs and ROBOs","0.015","PSMD7|RPLP1|ROBO1|DAG1|RPLP0","10899","8982|9121|8995|9090|9027","1.5E-4","","HSA-9010553","0.25201433389473527","0"
"165","5","KEGG Pathways","","Protein processing in endoplasmic reticulum","0.0163","HSP90B1|CUL1|HSP90AA1|VCP|DNAJA1","10899","9013|8991|9111|9044|9102","1.5E-4","","hsa04141","0.24702680561288143","0"
"16","3","SMART Domains","","Histidine kinase-like ATPases","0.0167","HSP90B1|HSP90AA1|PMS1","10899","9013|9111|8997","2.3E-5","","SM00387","0.24557200402138982","0"
"11202","48","COMPARTMENTS","","Intracellular","0.0174","PSMD7|TLR2|ACIN1|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|BUB1|PPP1R3B|LIMCH1|TALDO1|ASB4|CUL1|HSP90AA1|SLC25A15|ATP7A|RPLP1|AKAP9|CX3CR1|VCP|MAP4|TLR9|HTR4|INPP5F|S100A8|S100A10|SERBP1|TBCC|TTI1|TXN|ABCA1|DCLRE1C|XDH|DNAJA1|TRIP12|LRRFIP1|INPP1|GOLGB1|PHF21A|PMS1|ROBO1|ABL2|MAML2|DAG1|RPLP0|ACTG1","10899","8982|9026|9021|9074|9009|9013|9042|8978|8980|9118|9035|9059|9100|9124|8991|9111|9041|8994|9121|9115|9131|9044|9091|9134|9127|9067|9112|9029|9116|9030|9049|9076|9033|9000|8987|9102|9110|9060|9034|9114|9047|8997|8995|9089|9117|9090|9027|9073","3.49E-5","","GOCC:0005622","0.24310800165642082","0"
"7871","39","COMPARTMENTS","","Cytoplasm","0.0174","PSMD7|TLR2|ACIN1|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|BUB1|PPP1R3B|TALDO1|CUL1|HSP90AA1|SLC25A15|ATP7A|RPLP1|AKAP9|VCP|MAP4|TLR9|HTR4|INPP5F|S100A8|S100A10|SERBP1|TBCC|TTI1|TXN|ABCA1|XDH|DNAJA1|LRRFIP1|INPP1|GOLGB1|ROBO1|ABL2|DAG1|RPLP0|ACTG1","10899","8982|9026|9021|9074|9009|9013|9042|8978|9118|9035|9100|8991|9111|9041|8994|9121|9115|9044|9091|9134|9127|9067|9112|9029|9116|9030|9049|9076|9033|8987|9102|9060|9034|9114|8995|9089|9090|9027|9073","3.02E-5","","GOCC:0005737","0.24310800165642082","0"
"5142","30","COMPARTMENTS","","Protein-containing complex","0.0174","PSMD7|TLR2|ACIN1|KCNC1|CALM2|ARPC2|HSP90B1|BUB1|ASB4|CUL1|KCNA4|HSP90AA1|ATP7A|RPLP1|AKAP9|CX3CR1|VCP|MAP4|S100A8|S100A10|TTI1|ABCA1|DCLRE1C|XDH|CDH24|PHF21A|PMS1|ROBO1|DAG1|RPLP0","10899","8982|9026|9021|8996|9074|9009|9013|9118|9124|8991|9057|9111|8994|9121|9115|9131|9044|9091|9112|9029|9049|9033|9000|8987|9017|9047|8997|8995|9090|9027","3.32E-5","","GOCC:0032991","0.24310800165642082","0"
"54","4","WikiPathways","","Pathogenic Escherichia coli infection","0.0175","ARPC2|TUBA1A|TUBA1C|ACTG1","10899","9009|8978|8980|9073","2.59E-5","","WP2272","0.2427641174686575","0"
"93","4","Reactome Pathways","","Recruitment of NuMA to mitotic centrosomes","0.0176","TUBA1A|TUBA1C|HSP90AA1|AKAP9","10899","8978|8980|9111|9115","1.9E-4","","HSA-380320","0.24242219274558896","0"
"67","4","WikiPathways","","Parkin-ubiquitin proteasomal system pathway","0.0195","PSMD7|TUBA1A|TUBA1C|CUL1","10899","8982|8978|8980|8991","5.76E-5","","WP2359","0.2362704770949299","0"
"3341","23","UniProt Keywords","","Acetylation","0.02","PSMD7|ACIN1|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|TALDO1|HSP90AA1|RPLP1|VCP|MAP4|S100A10|SERBP1|TBCC|TXN|DNAJA1|TRIP12|LRRFIP1|GOLGB1|ABL2|ACTG1","10899","8982|9021|9074|9009|9013|9042|8978|8980|9100|9111|9121|9044|9091|9029|9116|9030|9076|9102|9110|9060|9114|9089|9073","4.05E-5","","KW-0007","0.23475121552857806","0"
"56","4","UniProt Keywords","","S-nitrosylation","0.02","PPIB|HSP90AA1|S100A8|TXN","10899","9042|9111|9112|9076","2.96E-5","","KW-0702","0.23475121552857806","0"
"289","6","Reactome Pathways","","RHO GTPase Effectors","0.02","ARPC2|TUBA1A|TUBA1C|BUB1|S100A8|ACTG1","10899","9009|8978|8980|9118|9112|9073","2.3E-4","","HSA-195258","0.23475121552857806","0"
"429","7","Reactome Pathways","","Signaling by Rho GTPases","0.0241","ARPC2|TUBA1A|TUBA1C|BUB1|HSP90AA1|S100A8|ACTG1","10899","9009|8978|8980|9118|9111|9112|9073","2.9E-4","","HSA-194315","0.22356101931800354","0"
"3011","23","GO Biological Process","","Response to organic substance","0.0242","PSMD7|TLR2|KCNC1|HSP90B1|XCR1|TALDO1|CUL1|HSP90AA1|SPINT1|ATP7A|AKAP9|CX3CR1|VCP|TLR9|HTR4|S100A8|ABCA1|TRPC3|DNAJA1|ABL2|DAG1|RPLP0|ACTG1","10899","8982|9026|8996|9013|9094|9100|8991|9111|9081|8994|9115|9131|9044|9134|9127|9112|9033|8990|9102|9089|9090|9027|9073","7.22E-6","","GO:0010033","0.2233125401781176","0"
"2740","22","GO Biological Process","","Regulation of localization","0.0242","TLR2|KCNC1|CALM2|XCR1|LIMCH1|KCNA4|HSP90AA1|ATP7A|AKAP9|CX3CR1|TLR9|INPP5F|S100A8|KCNG1|TXN|ABCA1|TRPC3|DNAJA1|ROBO1|ABL2|DAG1|ACTG1","10899","9026|8996|9074|9094|9059|9057|9111|8994|9115|9131|9134|9067|9112|9010|9076|9033|8990|9102|8995|9089|9090|9073","5.65E-6","","GO:0032879","0.2233125401781176","0"
"43","3","Reactome Pathways","","Voltage gated Potassium channels","0.0272","KCNC1|KCNA4|KCNG1","10899","8996|9057|9010","3.4E-4","","HSA-1296072","0.21629978849910597","0"
"110","4","Reactome Pathways","","Hedgehog off state","0.0272","PSMD7|TUBA1A|TUBA1C|CUL1","10899","8982|8978|8980|8991","3.6E-4","","HSA-5610787","0.21629978849910597","0"
"199","5","Reactome Pathways","","Mitotic Prometaphase","0.0272","TUBA1A|TUBA1C|BUB1|HSP90AA1|AKAP9","10899","8978|8980|9118|9111|9115","3.4E-4","","HSA-68877","0.21629978849910597","0"
"8","2","Reactome Pathways","","Role of ABL in ROBO-SLIT signaling","0.0275","ROBO1|ABL2","10899","8995|9089","3.8E-4","","HSA-428890","0.21564156296110673","0"
"1147","13","GO Biological Process","","Response to abiotic stimulus","0.0277","PSMD7|TLR2|KCNC1|HSP90B1|HSP90AA1|ATP7A|AKAP9|VCP|TXN|DCLRE1C|TRPC3|DNAJA1|DAG1","10899","8982|9026|8996|9013|9111|8994|9115|9044|9076|9000|8990|9102|9090","2.62E-5","","GO:0009628","0.21520672318483075","0"
"5447","32","GO Biological Process","","Cellular component organization","0.0277","TLR2|ACIN1|KCNC1|CALM2|ARPC2|HSP90B1|TUBA1A|TUBA1C|BUB1|LIMCH1|CUL1|KCNA4|HSP90AA1|SPINT1|ATP7A|AKAP9|CX3CR1|VCP|MAP4|S100A10|SERBP1|KCNG1|TBCC|ABCA1|DCLRE1C|GOLGB1|CDH24|PHF21A|ROBO1|DAG1|RPLP0|ACTG1","10899","9026|9021|8996|9074|9009|9013|8978|8980|9118|9059|8991|9057|9111|9081|8994|9115|9131|9044|9091|9029|9116|9010|9030|9033|9000|9114|9017|9047|8995|9090|9027|9073","1.14E-5","","GO:0016043","0.21520672318483075","0"
"1816","17","GO Biological Process","","Regulation of phosphate metabolic process","0.0277","CALM2|HSP90B1|PPP1R3B|LIMCH1|HSP90AA1|ATP7A|RPLP1|AKAP9|CX3CR1|VCP|TLR9|INPP5F|TXN|XDH|DNAJA1|ROBO1|DAG1","10899","9074|9013|9035|9059|9111|8994|9121|9115|9131|9044|9134|9067|9076|8987|9102|8995|9090","1.39E-5","","GO:0019220","0.21520672318483075","0"
"1870","17","GO Biological Process","","Regulation of protein modification process","0.0277","CALM2|HSP90B1|PPP1R3B|LIMCH1|HSP90AA1|RPLP1|AKAP9|CX3CR1|VCP|TLR9|INPP5F|TXN|XDH|DNAJA1|TRIP12|ROBO1|DAG1","10899","9074|9013|9035|9059|9111|9121|9115|9131|9044|9134|9067|9076|8987|9102|9110|8995|9090","2.03E-5","","GO:0031399","0.21520672318483075","0"
